가게,店
배우,俳優
배우다,習う、教わる
배탈,腹痛
백,100
백화점,百貨店、デパート
버리다,捨てる
버스,バス
번,～回
번호,番号
벌다,（お金を）稼ぐ、儲ける
벌써,すでに、もう
벗다,脱ぐ
벚꽃,桜
베이징,北京
베트남,ベトナム
벽,壁
변호사,弁護士
별,星
별로,別に
병,（瓶）～本、病気
병원,病院
보내다,送る、過ごす
보다,見る、より
보도,報道
보이다,見える、見せる
보통,ふつう、一般的に
복숭아,桃
복잡하다,複雑だ、（道が）混雑している
볶다,炒める、煎る
볶음밥,チャーハン
볼펜,ボールペン
봄,春
봉지,袋
봉투,封筒
뵙다,お目にかかる
부동산,不動産
부드럽다,柔らかい、やさしい
부르다,人を呼ぶ、歌を歌う
부모,父母
부부,夫婦
부산,釜山
부업,副業
부엌,台所
부인,夫人
부장,部長
부지런하다,勤勉だ、まめだ
부치다,（郵便物を）送る、（チヂミ、プッチムゲなどを）焼く
부탁,お願い
부탁하다,依頼する
북쪽,北、北側
분,～名（目上の人を数える）、～分（時間）
분위기,雰囲気
불,火、明かり、電気
불고기,プルコギ、焼き肉
불다,（風が）吹く、（口笛、楽器などを）吹く
불편하다,不便だ、体調が悪い
붓다,（液体を）注ぐ
붙다,くっつく、（試験に）受かる
붙이다,つける、貼る
브라질,ブラジル
블라우스,ブラウス
비,雨
비누,石鹸
비디오,ビデオ
비밀,秘密
비빔밥,ビビンバ
비슷하다,似ている
비싸다,（値段が）高い
비행기,飛行機
비행장,飛行場
빌딩,ビル
빌리다,借りる、貸す
빠르다,（速度が）速い
빨간색,赤色、赤
빨갛다,赤い
빨다,洗濯する
빨래,洗濯
빨리,はやく
빵,パン
빵집,パン屋、ベーカリー
빼다,のける、引く、抜く
뿐,だけ、のみ、ばかり
사,4
사거리,四つ角
사계절,四季
사고,事故
사과,りんご
사다,買う
사람,人
사랑,愛
사랑하다,愛する
사례,事例
사무실,事務室
사물,物事
사십,40
사업가,事業家
사용하다,使用する
사원,社員
사월,４月
사이,間
